"State","YearCode","Amount.of.Hydrogencarbonate","SDP","sdp2","sdp3","Ginni.Index","HDI","MarginOfVictory","percentagePoverty","literacyRate","Poverty_Literacy","Literacy_HDI","log_SDP","log_SDP2","log_SDP3"
"Assam",2017,99.1203703703704,195262,38127248644,7444802824724728,0.289,0.61,0.195333333333333,0.32,0.722,0.23104,0.44042,12.1820975254805,24.3641950509609,36.5462925764414
"Assam",2018,115.190909090909,204627,41872209129,8568184537439883,0.289,0.61,0.149833333333333,0.32,0.722,0.23104,0.44042,12.2289440886025,24.4578881772049,36.6868322658074
"Bihar",2000,239.340476190476,53656,2878966336,154473817724416,0.446,0.43,0.0922857142857143,0.426,0.47,0.20022,0.2021,10.8903485777796,21.7806971555591,32.6710457333387
"Bihar",2001,317.665934065934,50579,2558235241,129392980254539,0.446,0.434,0.0927692307692308,0.426,0.47,0.20022,0.20398,10.8312917493682,21.6625834987363,32.4938752481045
"Bihar",2004,337.298941798942,70167,4923407889,345460761347463,0.446,0.457,0.101,0.544,0.47,0.25568,0.21479,11.158633394019,22.317266788038,33.475900182057
"Bihar",2005,274.847083333333,68419,4681159561,320280256004059,0.446,0.465,0.07675,0.544,0.47,0.25568,0.21855,11.1334058428153,22.2668116856306,33.4002175284459
"Bihar",2006,289.850952380952,80260,6441667600,517008241576000,0.446,0.473,0.1226,0.544,0.47,0.25568,0.22231,11.2930266438209,22.5860532876418,33.8790799314627
"Bihar",2007,256.512662337662,84415,7125892225,601532192173375,0.446,0.483,0.0977727272727273,0.544,0.47,0.25568,0.22701,11.3435003899113,22.6870007798226,34.0305011697339
"Bihar",2008,263.095265151515,97284,9464176656,920712961802304,0.446,0.492,0.098,0.544,0.47,0.25568,0.23124,11.4853898147757,22.9707796295514,34.4561694443271
"Bihar",2009,253.361783771784,101938,10391355844,1059274032025672,0.446,0.498,0.123807692307692,0.535,0.638,0.34133,0.317724,11.5321200643176,23.0642401286352,34.5963601929529
